item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	merchant-shipping-group
G & F 1511L-DZ Rubber Latex Coated Work Gloves for Construction, Blue, Crinkle Pattern, Men's Large (Sold by dozen, 12 Pairs)	Blue Rubber coated gloves are the most popular and widely recognized work gloves on the market. This glove has a blue, flexible latex palm and finger coating over a durable knit	0204GH3DZIV	1511	14.63	761	2010-02-04 12:23:12 PST		y	3		brand new 1 dozen of 1511L	11				B000PHIHQM			1	N		899324001004			0	DEFAULT													Prime template
G & F 1511L-10 Rubber Latex Coated Work Gloves for Construction, Blue, Crinkle Pattern, Men's Large (120 Pairs)	Blue Rubber coated gloves are the most popular and widely recognized work gloves on the market. This glove has a blue, flexible latex palm and finger coating over a durable knit	0418MWPPZHP	1511L-10	106.16	949	2012-04-18 12:48:30 PDT		y	3		brand new 10 dozen of 1511L	11				B007VF8OWS			1	N		899324001530			0	DEFAULT													Prime template
G & F 6050L-3 Premium Split and Suede Cowhide Leather Work Gloves, Straight Thumb, Large, 3-Pair		0208GJH3ASP	1511L-6	16.4	965	2010-02-07 20:06:49 PST		y	3			11				B0012NBM42			1	N		899324000175			0	DEFAULT													Prime template
G & F 1511M-DZ Rubber Latex Coated Work Gloves for Construction, Blue, Crinkle Pattern, Men's Medium (Sold by dozen, 12 Pairs)	Blue Rubber coated gloves are the most popular and widely recognized work gloves on the market. This glove has a blue, flexible latex palm and finger coating over a durable knit	0213MIM5771	1511M	14.97	966	2012-02-13 10:04:28 PST		y	3		brand new 1 dozen of 1511M	11				B001ED6CZE			1	N		899324000182			0	DEFAULT													Prime template
G & F 1516L-1 Premium High Visibility Work Gloves for General Purpose, MicroFoam Double Textured Latex Coated Work Gloves, Garden Gloves, Men and Women Work Gloves, Large, 1 Pair		0828P85UN8D	1516-1L	4.37	864	2015-08-28 07:13:29 PDT		y	1			11				B014F03PPW			1	N		B014F03PPW			0	DEFAULT													Prime template
G & F 1516M-1 Premium High Visibility Work Gloves for General Purpose, MicroFoam Double Textured Latex Coated Work Gloves, Garden Gloves, Men and Women Work Gloves, Medium, 1 Pair		0828P85UHG1	1516-1M	5.09	916	2015-08-28 07:13:00 PDT		y	1			11				B014F03PXY			1	N		B014F03PXY			0	DEFAULT													Prime template
G & F 1516S-1 Premium High Visibility Work Gloves for General Purpose, MicroFoam Double Textured Latex Coated Work Gloves, Garden Gloves, Men and Women Work Gloves, Small, 1 Pair		0828P85UBHV	1516-1S	5.11	964	2015-08-28 07:12:30 PDT		y	1			11				B014F03PLQ			1	N		B014F03PLQ			0	DEFAULT													Prime template
G & F 1516XL-1 Premium High Visibility Work Gloves for General Purpose, MicroFoam Double Textured Latex Coated Work Gloves, Garden Gloves, Men and Women Work Gloves, XLarge, 1 Pair		0828P85U40P	1516-1XL	5.65	868	2015-08-28 07:11:50 PDT		y	1			11				B014F03PNY			1	N		B014F03PNY			0	DEFAULT													Prime template
G & F 1516L Premium High Visibility Work Gloves for General Purpose, MicroFoam Double Textured Latex Coated Work Gloves, Garden Gloves, Men and Women Work Gloves, Large, 2 Pairs		0208MF6EAWD	1516L	5.65	963	2012-02-08 12:09:35 PST		y	1		brand new	11				B000T3OUS6			1	N		B000T3OUS6			0	DEFAULT													Prime template
G & F 1516L-3 Premium High Visibility Work Gloves for General Purpose, MicroFoam Double Textured Latex Coated Work Gloves, Garden Gloves, Men and Women Work Gloves, Large, 3 Pair Pack		0314QBZU1QD	1516L-3	10.97	976	2016-03-14 12:49:57 PDT		y	1			11				B01CU8H30Y			1	N		B01CU8H30Y			0	DEFAULT													Prime template
